"Anos","state_names","Consumo","","","","",""
"2010","Pernambuco","10936","","","","",""
"2011","Pernambuco","11291","","","","",""
"2012","Pernambuco","11832","","","","",""
"2013","Pernambuco","12935","","","","",""
"2014","Pernambuco","13459","","","","",""
"2015","Pernambuco","13955","","","","",""
"2016","Pernambuco","13996","","","","",""
"2017","Pernambuco","14087","","","","",""
"2018","Pernambuco","14075","","","","",""
"2019","Pernambuco","14555","","","","",""
"2004","Piaui","1507","","","","",""
"2005","Piaui","1614","","","","",""
"2006","Piaui","1655","","","","",""
"2007","Piaui","1751","","","","",""
"2008","Piaui","1843","","","","",""
"2009","Piaui","1903","","","","",""
"2010","Piaui","2226","","","","",""
"2011","Piaui","2393","","","","",""
"2012","Piaui","2734","","","","",""
"2013","Piaui","2892","","","","",""
"2014","Piaui","3086","","","","",""
"2015","Piaui","3293","","","","",""
"2016","Piaui","3381","","","","",""
"2017","Piaui","3481","","","","",""
"2018","Piaui","3408","","","","",""
"2019","Piaui","3664","","","","",""
"2004","Rio de Janeiro","30535","","","","",""
"2005","Rio de Janeiro","32228","","","","",""
"2006","Rio de Janeiro","32394","","","","",""
"2007","Rio de Janeiro","33251","","","","",""
"2008","Rio de Janeiro","33723","","","","",""
"2009","Rio de Janeiro","33311","","","","",""
"2010","Rio de Janeiro","35801","","","","",""
"2011","Rio de Janeiro","37008","","","","",""
"2012","Rio de Janeiro","38050","","","","",""
"2013","Rio de Janeiro","39469","","","","",""
"2014","Rio de Janeiro","40934","","","","",""
"2015","Rio de Janeiro","41129","","","","",""
"2016","Rio de Janeiro","39903","","","","",""
"2017","Rio de Janeiro","38882","","","","",""
"2018","Rio de Janeiro","39699","","","","",""
"2019","Rio de Janeiro","39244","","","","",""
"2004","Rio Grande do Norte","3196","","","","",""
"2005","Rio Grande do Norte","3535","","","","",""
"2006","Rio Grande do Norte","3734","","","","",""
"2007","Rio Grande do Norte","3954","","","","",""
"2008","Rio Grande do Norte","4042","","","","",""
"2009","Rio Grande do Norte","4127","","","","",""
"2010","Rio Grande do Norte","4523","","","","",""
"2011","Rio Grande do Norte","4578","","","","",""
"2012","Rio Grande do Norte","4870","","","","",""
"2013","Rio Grande do Norte","5216","","","","",""
"2014","Rio Grande do Norte","5466","","","","",""
"2015","Rio Grande do Norte","5517","","","","",""
"2016","Rio Grande do Norte","5589","","","","",""
"2017","Rio Grande do Norte","5625","","","","",""
"2018","Rio Grande do Norte","5702","","","","",""
"2019","Rio Grande do Norte","5789","","","","",""
"2004","Rio Grande do Sul","21573","","","","",""
"2005","Rio Grande do Sul","22244","","","","",""
